angry, 😠
blushing, 😊
broken heart, 💔
clap, 👏
sunglasses, 😎
sob, 😭
dancing, 💃
disappointed, 😞
eyes, 👀
grin, 😀
heart, ❤
heart eyes, 😍
hugging face, 🤗
kissing, 😗
monocle, 🧐
tada, 🎉
pleading, 🥺
poop, 💩
rofl, 🤣
roll eyes, 🙄
sad, 🙁
shrugging, 🤷
shushing, 🤫
star struck, 🤩
thinking face, 🤔
thumbs down, 👎
thumbs up, 👍
worried, 😟
